prix,start time
205.0,2016-11-05 19:14:01
216.0,2016-11-07 09:01:21
267.0,2016-11-03 20:46:14
270.0,2016-11-07 15:58:58
276.0,2016-11-06 18:45:07
300.0,2016-11-07 16:06:33
312.0,2016-11-01 21:10:08
330.0,2016-11-02 14:24:28
334.0,2016-11-06 13:49:13
339.0,2016-11-06 11:41:29
340.0,2016-11-01 13:09:07
350.0,2016-11-03 20:32:47
350.0,2016-11-03 20:34:41
350.0,2016-11-03 20:35:33
350.0,2016-11-03 20:34:09
370.0,2016-11-06 11:01:36
375.0,2016-11-01 16:11:48
379.95,2016-10-28 10:53:59
395.0,2016-11-06 20:51:35
397.0,2016-11-05 16:50:53
399.95,2016-10-28 11:11:08
399.95,2016-11-01 12:00:38
399.95,2016-10-28 10:53:58
399.95,2016-10-28 08:29:10
399.95,2016-10-28 10:54:08
400.0,2016-11-06 23:49:04
409.0,2016-11-02 18:19:00
409.99,2016-10-01 20:21:38
419.99,2016-10-01 20:21:38
419.99,2016-10-01 20:21:38
424.99,2016-09-28 08:22:42
424.99,2016-09-28 08:22:42
424.99,2016-09-28 08:22:42
424.99,2016-09-28 08:22:42
424.99,2016-09-28 08:22:42
425.0,2016-10-25 16:09:46
429.99,2016-04-12 15:30:39
429.99,2016-04-12 15:40:11
429.99,2016-04-08 16:58:23
430.0,2016-10-10 08:24:26
434.99,2016-10-12 12:12:07
435.0,2016-10-31 07:50:53
435.99,2016-10-24 13:51:28
439.0,2016-10-29 00:01:55
439.99,2016-10-22 14:48:53
439.99,2016-10-21 17:34:48
440.0,2016-11-06 17:56:34
449.0,2016-10-27 16:09:16
449.95,2016-06-04 14:44:20
449.95,2016-10-14 14:13:44
449.95,2016-10-14 14:11:11
449.95,2016-10-14 14:12:23
449.99,2016-10-10 12:42:08
450.0,2016-11-01 21:20:54
450.0,2016-11-06 23:49:34
450.0,2016-11-06 14:34:22
459.99,2016-10-08 21:20:44
459.99,2016-10-08 21:20:44
459.99,2016-10-08 21:20:44
459.99,2016-10-08 21:20:44
469.99,2016-10-14 10:56:04
469.99,2016-10-14 10:56:04
469.99,2016-10-14 10:56:04
469.99,2016-10-14 10:56:04
469.99,2016-10-14 10:56:04
476.99,2016-09-25 21:31:08
479.0,2016-10-25 07:54:36
479.0,2016-10-19 07:39:45
479.0,2016-11-03 12:27:45
479.99,2016-10-14 10:56:04
479.99,2016-10-14 10:56:04
479.99,2016-10-31 06:13:45
479.99,2016-10-14 10:56:04
479.99,2016-10-14 10:56:04
479.99,2016-10-14 10:56:04
485.95,2016-11-04 11:10:06
489.0,2016-11-07 20:05:32
489.9,2016-10-24 18:44:37
489.95,2016-10-10 19:40:03
489.99,2016-10-17 20:07:41
490.5,2016-10-26 13:30:48
490.5,2016-10-26 13:31:17
494.99,2016-10-25 06:52:07
495.0,2016-11-06 00:44:36
495.0,2016-11-07 19:11:56
499.0,2016-10-24 07:16:54
499.9,2016-02-12 08:30:20
499.9,2016-02-12 08:30:26
499.9,2016-02-12 08:30:24
499.9,2016-02-12 08:30:24
499.95,2016-08-16 10:41:43
499.95,2016-08-16 10:41:43
499.95,2016-08-16 10:41:43
499.95,2016-08-16 10:41:43
499.99,2016-11-01 15:29:27
